Time,Image,CommandLine,ParentImage,Risk
2026-03-02T08:22:56.2701301Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=gpu-process --disable-gpu-sandbox --use-gl=disabled --gpu-vendor-id=32902 --gpu-device-id=18088 --gpu-sub-system-id=195694632 --gpu-revision=12 --gpu-driver-version=32.0.101.7077 --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 145.0.3800.82)"" --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --embedded-browser-webview=1 --gpu-preferences=SAAAAAAAAADoAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAEIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --ssd-no-pressure-read-main-dll --metrics-shmem-handle=5600,i,2735941404725079803,13824802011084521177,262144 --field-trial-handle=2108,i,2624161363374537193,13239693296814208507,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4672 /prefetch:10 /pfhostedapp:a53da8cf5aef3ae6ff5fb56c91ed8a5e14a368d2",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:22:52.7069341Z,C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe,"""C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe""",C:\Windows\SysWOW64\runonce.exe,Low
2026-03-02T08:22:52.4557334Z,C:\Windows\SysWOW64\runonce.exe,C:\WINDOWS\SysWOW64\runonce.exe /Run6432,C:\Windows\explorer.exe,Low
2026-03-02T08:22:49.5315335Z,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\svchost.exe,Low
2026-03-02T08:22:34.9351669Z,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\svchost.exe,Low
2026-03-02T08:22:27.6433929Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=293937246 --skip-read-main-dll --metrics-shmem-handle=5552,i,15221059240696618515,7363970668061287282,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708994745248135 --mojo-platform-channel-handle=5564 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:1",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:22:27.2863306Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=gpu-process --disable-gpu-sandbox --use-gl=disabled --gpu-vendor-id=32902 --gpu-device-id=18088 --gpu-sub-system-id=195694632 --gpu-revision=12 --gpu-driver-version=32.0.101.7077 --gpu-watchdog-timeout-seconds=60 --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView"" --webview-exe-name=ms-teams.exe --webview-exe-version=26015.1706.4351.4392 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --gpu-preferences=SAAAAAAAAADoAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAEIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --ssd-no-pressure-read-main-dll --metrics-shmem-handle=3180,i,971202767901099614,11513476532817565720,262144 --field-trial-handle=2052,i,11100741364403064404,372956390641544490,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,PartitionedCookies,ThirdPartyStoragePartitioning,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes,msWebView2TerminateServiceWorkerWhenIdleIgnoringCdpSessions --disable-features=BlockCrossPartitionBlobUrlFetching,BreakoutBoxPreferCaptureTimestampInVideoFrames,msEnhancedTrackingPreventionEnabled,msWebOOUI --variations-seed-version --trace-process-track-uuid=3190708994745248135 --mojo-platform-channel-handle=5564 /prefetch:10 /pfhostedapp:38ee845452acc73768143497d141f990b8c83f77",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:22:26.9037884Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=293195416 --skip-read-main-dll --metrics-shmem-handle=4548,i,18244477277793133827,5463436129991007212,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708993808206286 --mojo-platform-channel-handle=5392 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:1",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:22:26.3825265Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --extension-process --renderer-sub-type=extension --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=292677177 --skip-read-main-dll --metrics-shmem-handle=5244,i,9852658006838297347,8925025996607555153,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=4192 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:9",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
2026-03-02T08:22:25.6704618Z,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\kotra\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView"" --webview-exe-name=WhatsApp.Root.exe --webview-exe-version=1.0.0 --embedded-browser-webview=1 --extension-process --renderer-sub-type=extension --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --js-flags=""--expose-gc --ms-user-locale=en_IN"" --time-ticks-at-unix-epoch=-1772439453691936 --launch-time-ticks=291901196 --skip-read-main-dll --metrics-shmem-handle=4172,i,12885048952663338933,16519565024169614911,2097152 --field-trial-handle=1600,i,8149385401697549964,8949977479583912767,262144 --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4196 /pfhostedapp:7b58836e2c8076d80f42e77e843b25a42007b878 /prefetch:9",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82\msedgewebview2.exe,Low
